Date;Location;Rainfall;WindGustDir;WindGustSpeed;WindSpeed3pm;Humidity3pm;Pressure3pm;Cloud3pm;Temp3pm
04.07.2008;Sydney;1.2;NA;NA;9;88;1028.2;7;12.9
05.07.2008;Sydney;14.2;NA;NA;15;48;1028.9;6;16.8
06.07.2008;Sydney;0;NA;NA;4;59;1025.7;3;17.7
07.07.2008;Sydney;0;NA;NA;11;55;1019.7;5;19.3
08.07.2008;Sydney;0.2;NA;NA;7;49;1017.4;4;16.4
09.07.2008;Sydney;0;NA;NA;20;43;1015.7;7;13.2
10.07.2008;Sydney;1.8;NA;NA;26;38;1010;3;15.8
11.07.2008;Sydney;0;NA;NA;20;27;1017;1;16.1
12.07.2008;Sydney;0;NA;NA;13;45;1023.5;7;15
13.07.2008;Sydney;0;NA;NA;17;58;1021.2;8;17.1
14.07.2008;Sydney;0;NA;NA;7;54;1017.3;1;22.9
15.07.2008;Sydney;0;NA;NA;11;70;1018.4;1;17.4
16.07.2008;Sydney;0;NA;NA;11;50;1019.1;1;17.4
17.07.2008;Sydney;0;NA;NA;17;38;1013.3;5;17.3
18.07.2008;Sydney;0;NA;NA;39;21;1007.3;1;17.9
19.07.2008;Sydney;0;NA;NA;6;32;1014.1;2;18.2
20.07.2008;Sydney;0;NA;NA;4;55;1008.6;8;16.8
21.07.2008;Sydney;2.8;NA;NA;31;31;1008.1;1;16.7
22.07.2008;Sydney;0;NA;NA;22;31;1025.2;1;13.9
23.07.2008;Sydney;0;NA;NA;19;61;1029.6;6;14.1
24.07.2008;Sydney;7;NA;NA;22;70;1025.4;7;14.7
25.07.2008;Sydney;8.8;NA;NA;17;81;1020.1;7;12.6
26.07.2008;Sydney;16.2;NA;NA;13;47;1014.3;5;15.5
27.07.2008;Sydney;0;NA;NA;6;41;1008.6;7;16.4
28.07.2008;Sydney;3.8;NA;NA;31;79;1011.3;8;10.2
29.07.2008;Sydney;33.2;NA;NA;20;59;1015.1;6;13.5
30.07.2008;Sydney;0.2;NA;NA;11;43;1013.7;1;16.2
31.07.2008;Sydney;0;NA;NA;11;42;1011.6;2;18.5
01.08.2008;Sydney;0;NA;NA;26;46;1003.3;7;16.8
02.08.2008;Sydney;0;NA;NA;24;32;1013.3;1;16.6
03.08.2008;Sydney;0;NA;NA;7;34;1017.7;1;18.7
04.08.2008;Sydney;0;NA;NA;13;45;1017.1;6;15
05.08.2008;Sydney;0;NA;NA;13;52;1016.1;5;16.3
06.08.2008;Sydney;0;NA;NA;13;70;1015.6;7;14.3
07.08.2008;Sydney;0.8;NA;NA;19;75;1014.6;7;11.4
08.08.2008;Sydney;4.6;NA;NA;19;38;1016.9;5;18.4
09.08.2008;Sydney;0;NA;NA;15;37;1018.1;4;16.4
10.08.2008;Sydney;0;NA;NA;24;38;1011.8;2;13.5
11.08.2008;Sydney;0.4;NA;NA;20;35;1015.4;4;15.4
12.08.2008;Sydney;0;NA;NA;30;28;1018.8;1;15.8
13.08.2008;Sydney;0;NA;NA;15;34;1021.9;2;16
14.08.2008;Sydney;0;NA;NA;26;28;1015.6;1;18
15.08.2008;Sydney;0;NA;NA;31;33;1010.2;1;18.1
16.08.2008;Sydney;0;NA;NA;15;42;1010.5;4;16.6
17.08.2008;Sydney;0;NA;NA;15;35;1021.8;1;15.5
18.08.2008;Sydney;0;NA;NA;19;33;1021.2;7;15.3
19.08.2008;Sydney;0.6;NA;NA;15;32;1025.4;5;17.5
20.08.2008;Sydney;0;NA;NA;4;35;1023.2;7;19.2
21.08.2008;Sydney;0;NA;NA;11;44;1017.1;7;18.2
22.08.2008;Sydney;2.6;NA;NA;17;87;1015.5;8;10.5
23.08.2008;Sydney;20.8;NA;NA;28;53;1024.1;7;13.4
24.08.2008;Sydney;0;NA;NA;22;47;1027.9;2;16.6
25.08.2008;Sydney;0;NA;NA;19;48;1024.8;5;16
26.08.2008;Sydney;0;NA;NA;15;51;1019.3;3;18.7
27.08.2008;Sydney;0;NA;NA;26;NA;1025.3;4;15.3
28.08.2008;Sydney;2.4;NA;NA;20;59;1025.3;5;15.8
29.08.2008;Sydney;0;NA;NA;20;62;1022.3;4;16.1
30.08.2008;Sydney;0;NA;NA;17;65;1019.1;7;15.7
31.08.2008;Sydney;12;NA;NA;22;71;1009.555;7;19.1
01.09.2008;Sydney;0.2;NA;NA;19;41;1020.8;0;19
02.09.2008;Sydney;0;NA;NA;17;39;1024.4;1;18.9
03.09.2008;Sydney;0;NA;NA;30;64;1032.4;7;16
04.09.2008;Sydney;0.4;NA;NA;26;64;1031;8;15.8
05.09.2008;Sydney;1.6;NA;NA;20;88;1020.8;8;14.2
06.09.2008;Sydney;62.2;NA;NA;30;88;1013.1;8;12.3
07.09.2008;Sydney;21.6;NA;NA;15;51;1014.1;6;18.3
08.09.2008;Sydney;0;NA;NA;24;51;1018.2;2;16.4
09.09.2008;Sydney;0;NA;NA;20;43;1021.9;1;15.4
10.09.2008;Sydney;0;NA;NA;19;44;1019.1;1;16.6
11.09.2008;Sydney;0;NA;NA;20;60;1014.2;2;16.8
12.09.2008;Sydney;0;NA;NA;20;35;1010.8;1;21.9
13.09.2008;Sydney;0;NA;NA;7;47;1010.4;1;25
14.09.2008;Sydney;3.6;NA;NA;7;79;1007.4;6;19.3
15.09.2008;Sydney;4;NA;NA;39;23;1003.4;1;27.8
16.09.2008;Sydney;0;NA;NA;19;25;1016.5;1;19.5
17.09.2008;Sydney;0;NA;NA;11;58;1023.4;6;15
18.09.2008;Sydney;0;NA;NA;22;61;1016.2;4;18.3
19.09.2008;Sydney;0;NA;NA;20;47;1011;0;24
20.09.2008;Sydney;0;NA;NA;26;17;1005.9;6;31.6
21.09.2008;Sydney;0;NA;NA;19;61;1014.4;0;20.7
22.09.2008;Sydney;0;NA;NA;37;33;1007;7;27.6
23.09.2008;Sydney;2.6;NA;NA;24;60;1018;5;16.9
24.09.2008;Sydney;2.2;NA;NA;19;50;1028.6;1;17.5
25.09.2008;Sydney;0;NA;NA;19;54;1027.8;1;18.2
26.09.2008;Sydney;0;NA;NA;11;53;1018.4;5;21.6
27.09.2008;Sydney;0;NA;NA;9;62;1015.7;1;21.4
28.09.2008;Sydney;0;NA;NA;28;62;1007.1;2;21.5
29.09.2008;Sydney;0;NA;NA;24;63;1015.6;7;16.1
30.09.2008;Sydney;0.8;NA;NA;15;48;1016.777;1;19
01.10.2008;Sydney;0;NA;NA;22;69;1015.7;1;20.5
02.10.2008;Sydney;0;NA;NA;19;39;1013.5;1;29.7
03.10.2008;Sydney;0;NA;NA;11;20;1010.3;7;33.9
04.10.2008;Sydney;9.6;NA;NA;9;88;1012.9;8;19
05.10.2008;Sydney;3.4;NA;NA;11;86;1015.3;8;16
06.10.2008;Sydney;1.8;NA;NA;22;71;1003.9;7;20.2
07.10.2008;Sydney;0.4;NA;NA;24;42;1014.4;1;17.2
08.10.2008;Sydney;0;NA;NA;15;47;1018.6;1;18.4
09.10.2008;Sydney;0;NA;NA;22;58;1025.7;1;19.2
10.10.2008;Sydney;0;NA;NA;20;57;1025.4;3;20.5
11.10.2008;Sydney;0;NA;NA;22;65;1024.3;3;20
12.10.2008;Sydney;0;NA;NA;28;69;1021.8;1;20.8
13.10.2008;Sydney;0;NA;NA;24;43;1016.6;2;27.7
14.10.2008;Sydney;0.6;NA;NA;20;84;1016;7;17.6
15.10.2008;Sydney;9;NA;NA;17;55;1021.2;8;18.1
16.10.2008;Sydney;0;NA;NA;19;42;1023.4;1;20.3
17.10.2008;Sydney;0;NA;NA;20;49;1021;2;22.4
18.10.2008;Sydney;0;NA;NA;24;82;1022;2;19.7
19.10.2008;Sydney;0;NA;NA;9;48;1018.5;2;26.6
20.10.2008;Sydney;0;NA;NA;20;55;1019.3;1;21.8
21.10.2008;Sydney;1.8;NA;NA;35;59;1019.6;7;18.8
22.10.2008;Sydney;12.6;NA;NA;24;74;1021.9;7;12.4
23.10.2008;Sydney;11.4;NA;NA;26;75;1022.5;7;14.1
24.10.2008;Sydney;2;NA;NA;17;51;1019;6;18.2
25.10.2008;Sydney;0;NA;NA;19;47;1015.1;1;22.2
26.10.2008;Sydney;0;NA;NA;19;57;1013.4;7;23.6
27.10.2008;Sydney;0;NA;NA;20;38;1010.8;1;29.8
28.10.2008;Sydney;0;NA;NA;22;70;1019.9;8;20.5
29.10.2008;Sydney;6.2;NA;NA;13;91;1023.8;8;16.7
30.10.2008;Sydney;7.6;NA;NA;20;70;1016.7;6;23.5
31.10.2008;Sydney;0.2;NA;NA;26;24;1005.3;7;34.6
01.11.2008;Sydney;0.4;NA;NA;24;64;1022.9;7;20.4
02.11.2008;Sydney;0.8;NA;NA;17;60;1021;7;20
03.11.2008;Sydney;2.8;NA;NA;24;35;1006;4;28.6
04.11.2008;Sydney;0.2;NA;NA;31;62;1015.9;6;17.8
05.11.2008;Sydney;0;NA;NA;20;60;1010.6;8;20.1
06.11.2008;Sydney;0;NA;NA;17;45;1006.7;7;25
07.11.2008;Sydney;0;NA;NA;13;60;1011.1;8;21.3
08.11.2008;Sydney;0.2;NA;NA;17;47;1003.8;8;22.8
09.11.2008;Sydney;0.4;NA;NA;20;60;1017.9;2;21.5
10.11.2008;Sydney;0;NA;NA;20;56;1021.9;1;22.2
11.11.2008;Sydney;0;NA;NA;19;49;1020.9;2;22.3
12.11.2008;Sydney;0;NA;NA;22;54;1017.1;1;24
13.11.2008;Sydney;0;NA;NA;NA;65;1016;3;24.2
14.11.2008;Sydney;0;NA;NA;22;57;1010.6;5;26.1
15.11.2008;Sydney;6.6;NA;NA;19;73;1012.1;7;21.5
16.11.2008;Sydney;1.2;NA;NA;28;64;1016.7;7;19.4
17.11.2008;Sydney;0;NA;NA;15;50;1017.5;7;20
18.11.2008;Sydney;0;NA;NA;24;60;1013.7;8;21.6
19.11.2008;Sydney;6.2;NA;NA;20;78;1008.2;8;20.9
20.11.2008;Sydney;29.4;NA;NA;13;59;997.5;5;26.7
21.11.2008;Sydney;0.2;NA;NA;31;46;996.4;3;23.7
22.11.2008;Sydney;0;NA;NA;NA;30;991.4;6;17.2
23.11.2008;Sydney;0.2;NA;NA;26;55;991;5;18.4
24.11.2008;Sydney;2.4;NA;NA;20;49;1005.1;4;20.7
25.11.2008;Sydney;0;NA;NA;24;63;1015.3;3;19.3
26.11.2008;Sydney;0;NA;NA;19;55;1014.1;8;19.2
27.11.2008;Sydney;0;NA;NA;26;64;1008.9;1;22.7
28.11.2008;Sydney;0.2;NA;NA;17;75;1003.9;7;22.2
29.11.2008;Sydney;10.8;NA;NA;24;79;1002;7;19.8
30.11.2008;Sydney;11.2;NA;NA;19;55;1007.2;1;21.4
01.12.2008;Sydney;0;NA;NA;24;21;1004.6;7;30.8
02.12.2008;Sydney;0;NA;NA;26;65;1007.2;1;23.4
03.12.2008;Sydney;0;NA;NA;19;19;1005.6;5;32.3
04.12.2008;Sydney;0;NA;NA;22;57;1018.5;6;21.5
05.12.2008;Sydney;0;NA;NA;24;70;1008.6;5;24.1
06.12.2008;Sydney;0;NA;NA;20;56;1004.1;6;28.8
07.12.2008;Sydney;0;NA;NA;20;78;1008.4;7;21.7
08.12.2008;Sydney;6.8;NA;NA;31;72;1010.9;6;21.9
09.12.2008;Sydney;1.8;NA;NA;17;60;1006.3;6;24.9
10.12.2008;Sydney;0;NA;NA;30;66;1009.6;8;21.7
11.12.2008;Sydney;3.4;NA;NA;26;58;1015;8;19.7
12.12.2008;Sydney;3.6;NA;NA;30;92;1009.9;8;18.4
13.12.2008;Sydney;28.2;NA;NA;37;25;990.3;4;32.5
14.12.2008;Sydney;0;NA;NA;44;32;997.4;5;23.9
15.12.2008;Sydney;0;NA;NA;20;43;1007.9;1;22.8
16.12.2008;Sydney;0;NA;NA;20;48;1010.1;1;23.4
17.12.2008;Sydney;0;NA;NA;17;73;1008;6;23.1
18.12.2008;Sydney;0;NA;NA;17;68;1001.2;6;24
19.12.2008;Sydney;0.6;NA;NA;30;58;1007.8;6;21.2
20.12.2008;Sydney;0;NA;NA;15;69;1019.3;7;18.2
21.12.2008;Sydney;0.4;NA;NA;20;50;1019.9;1;21.4
22.12.2008;Sydney;0;NA;NA;26;57;1014.8;1;22.9
23.12.2008;Sydney;0;NA;NA;9;56;1008.4;7;26
24.12.2008;Sydney;0.4;NA;NA;6;78;1012.6;8;19.7
25.12.2008;Sydney;0;NA;NA;19;60;1013.5;3;22.8
26.12.2008;Sydney;0;NA;NA;22;71;1010.7;1;25.4
27.12.2008;Sydney;0;NA;NA;13;70;1005;8;26.2
28.12.2008;Sydney;7;NA;NA;20;63;1003.2;5;26.5
29.12.2008;Sydney;0;NA;NA;15;68;1003.7;6;22.4
30.12.2008;Sydney;2;NA;NA;26;72;999.3;5;23.8
31.12.2008;Sydney;0;NA;NA;20;42;1002.4;0;25.3
01.01.2009;Sydney;0;NA;NA;17;22;1000.7;6;34.3
02.01.2009;Sydney;0;NA;NA;33;57;1013.8;7;20.8
03.01.2009;Sydney;0;NA;NA;15;49;1019.4;8;21.4
04.01.2009;Sydney;0;NA;NA;31;58;1015.2;1;24.1
05.01.2009;Sydney;0;NA;NA;13;60;1008.9;4;26.2
06.01.2009;Sydney;0;NA;NA;20;64;1008;0;25.8
07.01.2009;Sydney;0;NA;NA;15;67;1005.1;7;26.1
08.01.2009;Sydney;0;NA;NA;31;72;1013.4;8;20.1
09.01.2009;Sydney;0.4;NA;NA;19;47;1018.8;6;21.2
10.01.2009;Sydney;0;NA;NA;20;53;1013.9;6;22.5
11.01.2009;Sydney;0;NA;NA;31;57;1011.5;1;23.9
12.01.2009;Sydney;1.2;NA;NA;15;61;1016.4;6;25.6
13.01.2009;Sydney;0.2;NA;NA;26;56;1016.5;0;25.4
14.01.2009;Sydney;0;NA;NA;24;49;1011.2;1;29.1
15.01.2009;Sydney;0;NA;NA;19;39;1006;6;33.1
16.01.2009;Sydney;1.8;NA;NA;24;61;1008.8;0;24
17.01.2009;Sydney;0;NA;NA;28;48;1020.5;3;21.6
18.01.2009;Sydney;0;NA;NA;22;46;1020;3;22.9
19.01.2009;Sydney;0;NA;NA;26;57;1015;5;23.8
20.01.2009;Sydney;0;NA;NA;22;54;1010.6;1;27
21.01.2009;Sydney;1.6;NA;NA;22;55;1008.1;5;29.2
22.01.2009;Sydney;1;NA;NA;26;45;1005.5;5;32.7
23.01.2009;Sydney;0;NA;NA;19;58;1007.6;2;29.1
24.01.2009;Sydney;0;NA;NA;26;20;1002.8;2;40.1
25.01.2009;Sydney;0;NA;NA;17;51;1018.3;5;24.7
26.01.2009;Sydney;0;NA;NA;15;72;1019.1;7;25.3
27.01.2009;Sydney;14.2;NA;NA;7;93;1019.9;8;22.4
28.01.2009;Sydney;4.4;NA;NA;22;60;1016;1;26.6
29.01.2009;Sydney;0;NA;NA;26;67;1016.5;1;27.5
30.01.2009;Sydney;0;NA;NA;24;59;1015.8;0;27.5
31.01.2009;Sydney;0;NA;NA;19;54;1014.2;3;29
01.02.2009;Sydney;0;NA;NA;17;66;1016.2;5;26.9
02.02.2009;Sydney;0;NA;NA;24;63;1012.2;2;27.1
03.02.2009;Sydney;0;NA;NA;19;60;1010;4;27.9
04.02.2009;Sydney;0.4;NA;NA;17;71;1009.4;5;26.2
05.02.2009;Sydney;0;NA;NA;22;58;1005.9;1;28.9
06.02.2009;Sydney;0;NA;NA;11;64;1008.4;1;27.4
07.02.2009;Sydney;0;NA;NA;31;34;1010.6;1;32.2
08.02.2009;Sydney;0;NA;NA;17;53;1007.5;1;28.1
09.02.2009;Sydney;0;NA;NA;17;81;1011.7;8;20.6
10.02.2009;Sydney;3.4;NA;NA;19;89;1010.1;8;18.7
11.02.2009;Sydney;5.6;NA;NA;20;61;1011.2;7;23
12.02.2009;Sydney;0.6;NA;NA;31;56;1018.7;8;21.4
13.02.2009;Sydney;23.2;NA;NA;24;90;1025;8;17.9
14.02.2009;Sydney;19.6;NA;NA;19;67;1019.2;8;20.4
15.02.2009;Sydney;25.6;NA;NA;22;66;1013.9;8;23.1
16.02.2009;Sydney;16.4;NA;NA;24;62;1017.8;7;22.6
17.02.2009;Sydney;3.8;NA;NA;17;71;1015.4;8;22
18.02.2009;Sydney;24.6;NA;NA;15;62;1008.1;6;25.7
19.02.2009;Sydney;1.4;NA;NA;20;60;1005;5;27.5
20.02.2009;Sydney;0;NA;NA;19;68;1010.2;3;25.1
21.02.2009;Sydney;0;NA;NA;11;68;1013.2;8;23.6
22.02.2009;Sydney;2.2;NA;NA;13;59;1017.6;4;24.4
23.02.2009;Sydney;0;NA;NA;15;63;1013;5;26.5
24.02.2009;Sydney;0.8;NA;NA;15;57;1013.2;1;28.2
25.02.2009;Sydney;0;NA;NA;20;63;1014.6;5;26.1
26.02.2009;Sydney;0;NA;NA;20;58;1018.7;5;23.6
27.02.2009;Sydney;0;NA;NA;11;50;1015.9;4;23.2
